Pickup_date,East_Village,Gramercy,GVillage_N,GVillage_S,Little_Italy,LES,SoHo,Union_Sq
2015-01-01 00:00:00,1512,565,505,665,694,1108,462,949
2015-01-01 06:00:00,164,78,42,42,56,80,44,63
2015-01-01 12:00:00,344,165,142,132,189,205,155,181
2015-01-01 18:00:00,424,201,180,156,218,257,167,193
2015-01-02 00:00:00,185,72,50,60,36,116,30,68
2015-01-02 06:00:00,174,115,91,53,81,100,63,120
2015-01-02 12:00:00,321,180,180,142,274,179,287,328
2015-01-02 18:00:00,575,304,271,237,356,394,256,407
2015-01-03 00:00:00,433,135,88,207,140,314,68,146
2015-01-03 06:00:00,154,100,59,40,74,60,53,82
2015-01-03 12:00:00,573,370,336,280,451,389,403,499
2015-01-03 18:00:00,1012,599,486,489,476,529,366,669
2015-01-04 00:00:00,582,213,126,234,192,477,85,204
2015-01-04 06:00:00,163,101,81,48,78,80,62,91
2015-01-04 12:00:00,342,209,166,149,221,179,184,287
2015-01-04 18:00:00,332,180,197,177,223,224,130,222
2015-01-05 00:00:00,105,45,42,31,38,37,36,39
2015-01-05 06:00:00,344,201,185,97,154,139,147,227
2015-01-05 12:00:00,191,156,201,105,187,118,205,366
2015-01-05 18:00:00,336,265,253,234,288,219,297,591
2015-01-06 00:00:00,97,38,50,45,34,59,40,57
2015-01-06 06:00:00,441,275,241,148,188,173,223,321
2015-01-06 12:00:00,216,179,248,157,253,157,295,563
2015-01-06 18:00:00,461,310,372,318,411,244,371,817
2015-01-07 00:00:00,120,44,43,52,40,87,54,84
2015-01-07 06:00:00,417,282,237,137,159,155,230,285
2015-01-07 12:00:00,257,261,301,170,301,190,314,636
2015-01-07 18:00:00,752,468,534,457,658,463,583,1161
2015-01-08 00:00:00,167,75,75,87,71,97,76,95
2015-01-08 06:00:00,485,359,353,176,215,200,275,374
2015-01-08 12:00:00,261,275,324,209,351,197,414,778
2015-01-08 18:00:00,837,514,603,507,714,464,654,1446
2015-01-09 00:00:00,215,107,84,132,74,164,93,135
2015-01-09 06:00:00,403,302,251,124,191,180,222,306
2015-01-09 12:00:00,309,264,298,185,321,184,401,729
2015-01-09 18:00:00,1055,653,657,538,738,655,619,1211
2015-01-10 00:00:00,734,267,223,427,238,627,175,327
2015-01-10 06:00:00,243,165,186,96,142,107,117,152
2015-01-10 12:00:00,643,370,381,337,508,411,447,636
2015-01-10 18:00:00,1531,853,824,752,757,736,639,1089
2015-01-11 00:00:00,1236,301,367,703,343,986,199,368
2015-01-11 06:00:00,199,129,115,80,113,117,83,132
2015-01-11 12:00:00,476,293,301,239,334,295,329,419
2015-01-11 18:00:00,467,291,236,249,290,304,215,427
2015-01-12 00:00:00,111,52,33,45,66,94,30,54
2015-01-12 06:00:00,468,365,314,177,219,207,268,335
2015-01-12 12:00:00,270,260,317,191,312,196,345,704
